CASTYPE1502	Agapostemon angelicus	SAME_AS	GBIF:5042862	Agapostemon angelicus		species		Animalia | Arthropoda | Insecta | Hymenoptera | Halictidae | Agapostemon | Agapostemon angelicus	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7908 | GBIF:5042846 | GBIF:5042862	kingdom | phylum | class | order | family | genus | species		http://www.gbif.org/species/5042862
CASTYPE1502	Agapostemon angelicus	SAME_AS	INAT_TAXON:270393	Agapostemon angelicus		species	Angeles Striped-Sweat Bee @en	Animalia | Arthropoda | Hexapoda | Insecta | Pterygota | Hymenoptera | Apocrita | Aculeata | Apoidea | Halictidae | Halictinae | Halictini | Agapostemon | Agapostemon angelicus	INAT_TAXON:1 | INAT_TAXON:47120 | INAT_TAXON:372739 | INAT_TAXON:47158 | INAT_TAXON:184884 | INAT_TAXON:47201 | INAT_TAXON:124417 | INAT_TAXON:326777 | INAT_TAXON:47222 | INAT_TAXON:49707 | INAT_TAXON:134106 | INAT_TAXON:335597 | INAT_TAXON:50086 | INAT_TAXON:270393	kingdom | phylum | subphylum | class | subclass | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species		http://inaturalist.org/taxa/270393
CASTYPE1502	Agapostemon angelicus	SAME_AS	ITIS:757522	Agapostemon angelicus		species		Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Halictidae | Halictinae | Halictini | Agapostemon | Agapostemon angelicus	ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154348 | ITIS:633921 | ITIS:633958 | ITIS:154351 | ITIS:757522	kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species		http://inaturalist.org/taxa/270393
CASTYPE1502	Agapostemon angelicus	SAME_AS	doi:10.3897/BDJ.8.e49285	doi:10.3897/BDJ.8.e49285				doi:10.3897/BDJ.8.e49285				https://doi.org/10.3897/BDJ.8.e49285
CASTYPE1502	Agapostemon angelicus	SAME_AS	EOL:104173	Agapostemon		genus	Metallic Green Bees @en |	Animalia | Arthropoda | Insecta | Hymenoptera | Apoidea | Halictidae | Agapostemon	EOL:1 | EOL:164 | EOL:344 | EOL:648 | EOL:676 | EOL:7498 | EOL:104173	kingdom | phylum | class | order | superfamily | family | genus		http://eol.org/pages/104173
CASTYPE1502	Agapostemon angelicus	SAME_AS	GBIF:5042846	Agapostemon		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Halictidae | Agapostemon	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7908 | GBIF:5042846	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104173
CASTYPE1502	Agapostemon angelicus	SAME_AS	GBIF:7235976	Agapostemon		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Agapostemon	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7235976	kingdom | phylum | class | order | genus		http://www.gbif.org/species/7235976
CASTYPE1502	Agapostemon angelicus	SAME_AS	http://taxon-concept.plazi.org/id/Animalia/Agapostemon_angelicus_Cockerell_1924	Agapostemon angelicus				Animalia | Arthropoda | Insecta | Hymenoptera | Halictidae | Agapostemon | Agapostemon angelicus		kingdom | phylum | class | order | family | genus | species		http://taxon-concept.plazi.org/id/Animalia/Agapostemon_angelicus_Cockerell_1924
CASTYPE1502	Agapostemon angelicus	SAME_AS	http://treatment.plazi.org/id/A61A09B380185011A57765F1D780E0FD	http://treatment.plazi.org/id/A61A09B380185011A57765F1D780E0FD				http://treatment.plazi.org/id/A61A09B380185011A57765F1D780E0FD				http://treatment.plazi.org/id/A61A09B380185011A57765F1D780E0FD
CASTYPE1502	Agapostemon angelicus	SAME_AS	IRMNG:1207179	Agapostemon		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Halictidae | Agapostemon	IRMNG:11 | IRMNG:235 | IRMNG:1096 | IRMNG:10830 | IRMNG:101778 | IRMNG:1207179	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104173
CASTYPE1502	Agapostemon angelicus	SAME_AS	IRMNG:1231117	Agapostemon		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Agapostemon	IRMNG:11 | IRMNG:235 | IRMNG:1096 | IRMNG:10830 | IRMNG:1231117	kingdom | phylum | class | order | genus		http://eol.org/pages/104173
CASTYPE1502	Agapostemon angelicus	SAME_AS	ITIS:154351	Agapostemon		genus		Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Halictidae | Halictinae | Halictini | Agapostemon	ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154348 | ITIS:633921 | ITIS:633958 | ITIS:154351	kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus		http://eol.org/pages/104173
CASTYPE1502	Agapostemon angelicus	SAME_AS	WD:Q2315188	Agapostemon angelicus		species		| Agapostemon angelicus	WD:Q3606354 | WD:Q2315188	null | species		https://www.wikidata.org/wiki/Q2315188
CASTYPE1502	Agapostemon angelicus	SAME_AS	WD:Q3606354	Agapostemon		genus		| Agapostemon	WD:Q2276661 | WD:Q3606354	null | genus		https://www.wikidata.org/wiki/Q3606354
CASTYPE15649	Megachile chilopsidis	SAME_AS	GBIF:1335298	Megachile chilopsidis		species		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile | Megachile chilopsidis	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7911 | GBIF:1335011 | GBIF:1335298	kingdom | phylum | class | order | family | genus | species		http://www.gbif.org/species/1335298
