catalogNumber,scientificName
CASTYPE10200,Perdita salicis
CASTYPE10273,Pseudopanurgus compactus
CASTYPE10287,Andrena blennospermatis
CASTYPE10288,Andrena agoseridis
CASTYPE10289,Andrena subapasta
CASTYPE10290,Andrena lewisorum
CASTYPE10291,Andrena malacothricidis
CASTYPE10328,Pseudopanurgus cazieri
CASTYPE11130,Andrena latinensis
CASTYPE11131,Andrena bocensis
CASTYPE11132,Andrena bendensis
CASTYPE11166,Calliopsis fulgida
CASTYPE11167,Calliopsis hurdi
CASTYPE11169,Calliopsis peninsularis
CASTYPE11170,Calliopsis syphar
CASTYPE11171,Calliopsis timberlakei
CASTYPE11172,Calliopsis unca
CASTYPE11173,Calliopsis yalea
CASTYPE11178,Dufourea macswaini
CASTYPE11274,Andrena boronensis
CASTYPE11277,Andrena eulobi
CASTYPE11280,Andrena stagei
CASTYPE11281,Andrena thorpi
CASTYPE11320,Dufourea gilia
CASTYPE11391,Peponapis azteca
CASTYPE11392,Peponapis smithi
CASTYPE11394,Andrena camissoniae
CASTYPE11395,Dialictus ornduffi
CASTYPE11396,Eulonchopria oaxacana
CASTYPE11553,Andrena angusticrus
CASTYPE11554,Andrena biareola
CASTYPE11555,Andrena buccata
CASTYPE11556,Andrena stipator
CASTYPE11557,Andrena sublayiae
CASTYPE11615,Agapostemon ascius
CASTYPE11616,Agapostemon erebus
CASTYPE11617,Agapostemon lanosus
CASTYPE11618,Agapostemon mexicanus
CASTYPE11619,Agapostemon peninsularis
CASTYPE11768,Allodape brachycephala
CASTYPE11769,Braunsapis aureoscopa
CASTYPE11798,Ancylandrena timberlakei
CASTYPE11799,Andrena gordoni
CASTYPE11802,Nomada parkeri
CASTYPE11823,Andrena bucculenta
CASTYPE11824,Andrena santaclarae
CASTYPE11938,Ceratina apacheorum
CASTYPE11939,Ceratina micheneri
CASTYPE11940,Ceratina timberlakei
CASTYPE12029,Andrena toralis
CASTYPE12030,Anthidium sculleni
CASTYPE12254,Simanthedon linsleyi
CASTYPE12364,Pectinapis fasciata
CASTYPE12365,Pectinapis fasciatella
CASTYPE12472,Heterosarus levis
CASTYPE12473,Protandrena impressa
CASTYPE12521,Andrena hamulata
CASTYPE12522,Andrena penemisella
CASTYPE12553,Exomalopsis cockerelli
CASTYPE12566,Mesoxaea clypeata
CASTYPE12567,Mesoxaea rufescens
CASTYPE12568,Protoxaea australis
CASTYPE12663,Perdita apicalis
CASTYPE12664,Perdita autumnalis
CASTYPE12665,Perdita bifasciata
CASTYPE12666,Perdita cinctiventris
CASTYPE12667,Perdita diminutiva
CASTYPE12668,Perdita esmeraldensis
CASTYPE12669,Perdita gracilior
CASTYPE12670,Perdita infuscata
CASTYPE12671,Perdita inyoensis
CASTYPE12672,Perdita medialis
CASTYPE12673,Perdita pachygnatha
CASTYPE12674,Perdita pauliana
CASTYPE12675,Perdita perlucens
CASTYPE12676,Perdita pusillissima
CASTYPE12677,Perdita willcoxiana
CASTYPE12678,Perdita zavortinki
CASTYPE12749,Martinapis occidentalis
CASTYPE12989,Perdita biornata
CASTYPE12990,Perdita impar
CASTYPE12991,Perdita leechi
CASTYPE12992,Perdita nayaritensis
CASTYPE12993,Perdita peninsularis
CASTYPE12994,Andrena congrua
CASTYPE12995,Andrena declinis
CASTYPE12996,Andrena illustris
CASTYPE12997,Andrena quadrilimbata
CASTYPE12998,Andrena ribblei
CASTYPE13109,Perdita neffi
CASTYPE13110,Ashmeadiella parkinsoniae
CASTYPE13124,Chilicola andina
CASTYPE13125,Chilicola michelbacheri
CASTYPE13126,Chilicola hahni
CASTYPE13134,Neolarra clavigera
CASTYPE13135,Neolarra hurdi
CASTYPE13368,Mexalictus arizonensis
CASTYPE13381,Ceratina neomexicana punctigena
CASTYPE13382,Holcopasites bigibbosus
CASTYPE13383,Holcopasites bohartorum
CASTYPE13384,Holcopasites cazieri
CASTYPE13462,Micralictoides mojavensis
CASTYPE13464,Nomadopsis solitaria
CASTYPE13478,Perdita lepidosparti
CASTYPE13479,Perdita leucostoma
CASTYPE13523,Caupolicana wilsoni
CASTYPE13525,Perdita imbellis
CASTYPE13538,Andrena aurihirta
CASTYPE13540,Andrena grindeliae
CASTYPE13542,Andrena luteihirta
CASTYPE13643,Perdita pernitens
CASTYPE13665,Andrena ceanothifloris
CASTYPE13733,Meganomia rossi
CASTYPE13761,Andrena monoensis
CASTYPE13762,Andrena prolixa
CASTYPE14041,Exomalopsis apicalis
CASTYPE14042,Exomalopsis dimidiata
CASTYPE14043,Exomalopsis minima
CASTYPE14044,Exomalopsis notabilis
CASTYPE14090,Megabombus honshuensis
CASTYPE14091,Orientalibombus haemorrhoidalis semialbopleuralis
CASTYPE14151,Proteriades emarginatus
CASTYPE14152,Synhalonia amoena
CASTYPE14154,Nomada hesperia falconis
CASTYPE14207,Megachile astragali
CASTYPE14208,Megachile melanderi
CASTYPE14209,Megachile yumensis
CASTYPE14210,Megachile subparallela
CASTYPE14348,Andrena aculeata
CASTYPE14349,Andrena baeriae
CASTYPE14350,Andrena bullata
CASTYPE14351,Andrena chlorogaster
CASTYPE14352,Andrena cruciferarum
CASTYPE14353,Andrena deserticola
CASTYPE14354,Andrena dinognatha
CASTYPE14355,Andrena dissimulans
CASTYPE14356,Andrena enceliae
CASTYPE14357,Andrena essigi
CASTYPE14358,Andrena ferrugineipes
CASTYPE14359,Andrena flandersi
CASTYPE14360,Andrena fulminea
CASTYPE14361,Andrena lauta
CASTYPE14362,Andrena lepidii
CASTYPE14363,Andrena linsleyi
CASTYPE14364,Andrena lomatii
CASTYPE14365,Andrena longifovea
CASTYPE14367,Andrena nemophilae
CASTYPE14368,Andrena oenotherae
CASTYPE14369,Andrena pallidiscopa
CASTYPE14370,Andrena palpalis
CASTYPE14371,Andrena pensilis
CASTYPE14372,Andrena sphaeralceae
CASTYPE14373,Andrena suavis
CASTYPE14375,Andrena tildeni
CASTYPE14376,Andrena waldmerei
CASTYPE14377,Andrena zygadeni
CASTYPE14378,Calliopsis deserticola
CASTYPE14379,Calliopsis empelia
CASTYPE14380,Calliopsis gilva
CASTYPE14382,Calliopsis squamifera
CASTYPE14383,Heterosarus chemsaki
CASTYPE14384,Heterosarus consors
CASTYPE14385,Heterosarus durangoensis
CASTYPE14387,Heterosarus mundus
CASTYPE14389,Metapsaenythia sonorana
CASTYPE14390,Nomadopsis barbata
CASTYPE14391,Nomadopsis foleyi
CASTYPE14392,Nomadopsis larreae
CASTYPE14393,Nomadopsis mellipes
CASTYPE14394,Nomadopsis nigromaculata
CASTYPE14395,Nomadopsis phaceliae
CASTYPE14396,Nomadopsis timberlakei
CASTYPE14397,Nomadopsis trifolii
CASTYPE14398,Perdita abdominalis
CASTYPE14399,Perdita acaciae
CASTYPE14400,Perdita acapulcona
CASTYPE14401,Perdita accepta
